aesthetic_1,aesthetic_2,score,shared_total,era_gap_years,year_1,year_2,dimensions_hit,shared_detail
Film Noir,Y2K Futurism,16.44,4,60,1930,1990,artworks,"artworks:films, games, shows"
Film Noir,Magician,16.33,3,230,1930,1700,artworks,"artworks:films, shows, titles"
Magician,Retrofuturism,16.27,3,226,1700,1926,artworks,"artworks:films, shows, titles"
Playboy,Power Dressing,16.24,4,57,1920,1977,"brands, motifs, tvshows","brands:Armani | motifs:Tailored suits | tvshows:Dynasty, Miami Vice"
Brazilian Carnival,Coconut Girl,16.19,3,220,1800,2020,"artworks, values","artworks:films, titles | values:Fun"
B-Boy,Burlesque,15.96,4,53,1970,1917,colours,"colours:black, red, white"
B-Boy,Chinoiserie,15.96,4,53,1970,1917,colours,"colours:black, blue, red"
Hime Gyaru,Jirai Kei,15.83,6,13,2007,2020,"brands, locations, motifs","brands:Liz Lisa | locations:Japan, Tokyo | motifs:Bows, Lace, Ribbons"
Jirai Kei,Takenokozoku,15.73,4,50,2020,1970,"locations, motifs","locations:Japan, Tokyo | motifs:Bows, Ribbons"
Raygun Gothic,Robotcore,15.73,4,50,1940,1990,"artworks, motifs, tvshows","artworks:films, games | motifs:Robots | tvshows:My Life as a Teenage Robot"
Space Age,Trinketcore,15.73,4,50,1950,2000,"artworks, motifs, values","artworks:films, shows | motifs:Stars | values:exploration"
Skater,Superflat Pop,15.73,4,50,1950,2000,"artworks, motifs","artworks:films, games, shows | motifs:Graffiti"
Angura Kei,Chicago Drill,15.73,4,50,1960,2010,"colours, values","colours:black, red, white | values:' nihilism"
Angura Kei,Dadaism,15.73,4,50,1960,1910,"colours, values","colours:black, red, white | values:' nihilism"
B-Boy,Brazilcore (fashion trend),15.73,4,50,1970,2020,colours,"colours:blue, green, white"
B-Boy,Cutecore,15.73,4,50,1970,2020,colours,"colours:blue, red, white"
Junkpunk,Zombie Apocalypse,15.73,4,50,2010,1960,artworks,"artworks:books, films, games"
Emo,Skater,15.73,4,50,2000,1950,"artworks, brands","artworks:films, games, shows | brands:VANS"
Cryptidcore,Zombie Apocalypse,15.73,4,50,2010,1960,artworks,"artworks:books, films, games"
Coconut Girl,New England Gothic,15.68,3,185,2020,1835,artworks,"artworks:films, games, shows"
Jirai Kei,New England Gothic,15.68,3,185,2020,1835,artworks,"artworks:books, games, shows"
Barbiecore,New England Gothic,15.68,3,185,2020,1835,artworks,"artworks:films, games, shows"
New England Gothic,Xpiritualism,15.68,3,185,1835,2020,artworks,"artworks:films, games, shows"
New England Gothic,Preacher's Daughter,15.68,3,185,1835,2020,artworks,"artworks:books, films, games"
New England Gothic,Olderbrothercore,15.68,3,185,1835,2020,artworks,"artworks:films, games, shows"
Fairycore,New England Gothic,15.68,3,185,2020,1835,artworks,"artworks:books, films, shows"
Fairy Grunge,New England Gothic,15.68,3,185,2020,1835,artworks,"artworks:books, films, shows"
New England Gothic,Soft Boy,15.63,3,182,1835,2017,artworks,"artworks:films, games, shows"
New England Gothic,Wizardcore,15.51,3,175,1835,2010,artworks,"artworks:books, games, shows"
New England Gothic,Vaporwave,15.51,3,175,1835,2010,artworks,"artworks:books, games, shows"
New England Gothic,Silkpunk,15.51,3,175,1835,2010,artworks,"artworks:books, games, shows"
After Hours,New England Gothic,15.51,3,175,2010,1835,artworks,"artworks:books, films, shows"
Arabfunny,B-Boy,15.48,4,47,2017,1970,colours,"colours:black, green, red"
Analog Horror,B-Boy,15.48,4,47,2017,1970,colours,"colours:black, blue, green"
Colorido,New England Gothic,15.46,3,172,2007,1835,artworks,"artworks:books, games, shows"
Internet Awesomesauce,New England Gothic,15.46,3,172,2007,1835,artworks,"artworks:films, games, shows"
Indiecraft,New England Gothic,15.41,3,169,2004,1835,artworks,"artworks:films, games, shows"
Ancient Egypt,Chinese New Year,15.35,2,2150,3150,1000,colours,"colours:gold, red"
New England Gothic,Superflat Pop,15.34,3,165,1835,2000,artworks,"artworks:films, games, shows"
Dieselpunk,New England Gothic,15.34,3,165,2000,1835,artworks,"artworks:films, games, shows"
Indigenous Futurisms,New England Gothic,15.34,3,165,2000,1835,artworks,"artworks:books, films, games"
Liminal Space,New England Gothic,15.34,3,165,2000,1835,artworks,"artworks:books, films, games"
New England Gothic,Vectordelia,15.34,3,165,1835,2000,artworks,"artworks:films, games, shows"
Mori Kei,New England Gothic,15.34,3,165,2000,1835,artworks,"artworks:books, films, shows"
"Bon Chic, Bon Genre",Coastal Grandmother,15.31,4,45,1977,2022,"colours, values","colours:beige, cream, white | values:Understated elegance"
Mallgoth,New England Gothic,15.28,3,162,1997,1835,artworks,"artworks:books, films, shows"
Clowncore,Grocery Girl Fall,15.24,3,160,1860,2020,"motifs, values","motifs:Bright colors | values:Humor, Joy"
Clowncore,Fairycore,15.24,3,160,1860,2020,artworks,"artworks:books, films, shows"
Clowncore,Fairy Grunge,15.24,3,160,1860,2020,artworks,"artworks:books, films, shows"
Coconut Girl,Neko,15.22,5,20,2020,2000,"artworks, colours, values","artworks:films, shows | colours:pink, yellow | values:Femininity"
Liminal Space,Preacher's Daughter,15.22,5,20,2000,2020,"artworks, values","artworks:books, films, games | values:Nostalgia"
Cyber Stylin',Paty de SP,15.22,5,20,2000,2020,"colours, values","colours:black, blue, pink | values:Self-love"
New England Gothic,UrBling,15.15,3,155,1835,1990,artworks,"artworks:films, games, shows"
New England Gothic,Y2K Futurism,15.15,3,155,1835,1990,artworks,"artworks:films, games, shows"
Low Poly,New England Gothic,15.15,3,155,1990,1835,artworks,"artworks:films, games, shows"
Metalheart,New England Gothic,15.15,3,155,1990,1835,artworks,"artworks:films, games, shows"
New England Gothic,Poster Gal,15.15,3,155,1835,1990,artworks,"artworks:books, films, shows"
"Bon Chic, Bon Genre",Clean Girl,15.14,4,43,1977,2020,colours,"colours:beige, cream, grey"
New England Gothic,Twee,15.09,3,152,1835,1987,artworks,"artworks:books, films, shows"
Wizardcore,Wonderland,15.05,3,150,2010,1860,"artworks, motifs","artworks:books | motifs:Books, mirrors"
After Hours,Clowncore,15.05,3,150,2010,1860,artworks,"artworks:books, films, shows"
Clowncore,Cryptidcore,15.05,3,150,1860,2010,artworks,"artworks:books, films, shows"
Clowncore,Colorido,14.99,3,147,1860,2007,"artworks, values","artworks:books, shows | values:Positivity"
New England Gothic,New Wave,14.89,3,142,1835,1977,artworks,"artworks:films, games, shows"
Disco,Vintage Americana,14.85,4,40,1970,2010,"artworks, locations, values","artworks:shows, titles | locations:United States | values:Escapism"
Arcadecore,Coconut Girl,14.85,4,40,1980,2020,"artworks, colours, values","artworks:films, shows | colours:pink | values:Fun"
Genderless Kei,Takenokozoku,14.85,4,40,2010,1970,"locations, values","locations:Harajuku, Japan, Tokyo | values:Freedom of expression"
B-Boy,Chicago Drill,14.85,4,40,1970,2010,"colours, values","colours:black, red, white | values:Authenticity"
B-Boy,Solarpunk,14.85,4,40,1970,2010,colours,"colours:blue, green, white"
Cyberpunk,Fairy Grunge,14.85,4,40,1980,2020,"artworks, colours","artworks:books, films, titles | colours:black"
Arts and Crafts,Bardcore,14.85,3,140,1880,2020,colours,"colours:blues, reds, yellows"
Arts and Crafts,Cacareco Girl,14.85,3,140,1880,2020,colours,"colours:blues, greens, reds"
Clowncore,Neko,14.85,3,140,1860,2000,artworks,"artworks:anime, films, shows"
Clowncore,Hipness Purgatory,14.85,3,140,1860,2000,artworks,"artworks:anime, books, shows"
Clowncore,Vectordelia,14.85,3,140,1860,2000,artworks,"artworks:anime, films, shows"
Clowncore,Shibuya Punk,14.85,3,140,1860,2000,artworks,"artworks:anime, films, shows"
Heroic Realism,Zombie Apocalypse,14.85,4,40,1920,1960,artworks,"artworks:books, films, games"
Emo,Zombie Apocalypse,14.85,4,40,2000,1960,artworks,"artworks:books, films, games"
Trinketcore,Zombie Apocalypse,14.85,4,40,2000,1960,artworks,"artworks:books, films, games"
Psychedelia,Wota,14.85,4,40,1960,2000,artworks,"artworks:games, title, type"
Clowncore,Emo,14.85,3,140,1860,2000,artworks,"artworks:books, films, shows"
Clowncore,Trinketcore,14.85,3,140,1860,2000,artworks,"artworks:books, films, shows"
Cyberprep,Ultras,14.85,4,40,2000,1960,artworks,"artworks:books, title, type"
Cyberprep,Psychedelia,14.85,4,40,2000,1960,artworks,"artworks:shows, title, type"
Arts and Crafts,Bloomcore,14.78,3,137,1880,2017,colours,"colours:blues, greens, reds"
Clowncore,Mallgoth,14.78,3,137,1860,1997,artworks,"artworks:books, films, shows"
Haussmann Paris,Rococo,14.63,3,130,1850,1720,"locations, values","locations:France, Paris | values:leisure"
Clowncore,UrBling,14.63,3,130,1860,1990,artworks,"artworks:films, shows, tv_shows"
Clowncore,Twee,14.56,3,127,1860,1987,artworks,"artworks:books, films, shows"
Hime Gyaru,Takenokozoku,14.55,4,37,2007,1970,"locations, motifs","locations:Japan, Tokyo | motifs:Bows, Ribbons"
Mallgoth,Sharpies,14.55,4,37,1997,1960,"artworks, values","artworks:books, films, shows | values:Rebellion"
Nerdcore,Ultras,14.55,4,37,1997,1960,"artworks, values","artworks:title, type, year | values:"" self-expression"
Tweencore,Zombie Apocalypse,14.55,4,37,1997,1960,artworks,"artworks:books, films, games"
Brazilian Carnival,Fanfare,14.53,3,126,1800,1926,"artworks, values","artworks:titles | values:Fun, excitement"
New England Gothic,Psychedelia,14.51,3,125,1835,1960,artworks,"artworks:films, games, shows"
New England Gothic,Sharpies,14.51,3,125,1835,1960,artworks,"artworks:books, films, shows"
Puppycore,Unicorn Trend,14.45,5,17,2000,2017,"motifs, platforms, values","motifs:glitter, sparkles | platforms:Instagram | values:Nostalgia, Playfulness"
Pin-up,Power Dressing,14.44,4,36,1941,1977,"artworks, locations, values","artworks:books, films | locations:United States | values:Confidence"
Babygirl,Puppycore,14.39,6,10,2010,2000,"motifs, values","motifs:Bows, Hearts, Pastel colors | values:Comfort, Innocence, Nostalgia"
Clowncore,Cyberpunk,14.39,3,120,1860,1980,artworks,"artworks:anime, books, films"
Ancient Egypt,New England Gothic,14.36,2,1315,3150,1835,artworks,"artworks:books, games"
Empire Style,Purism,14.34,3,118,1800,1918,"locations, values","locations:France, Paris | values:Order"
French Provincial Style,Hygge,14.31,3,117,1917,1800,"motifs, values","motifs:Natural materials | values:Comfort, Simplicity"
New England Gothic,Skater,14.26,3,115,1835,1950,artworks,"artworks:films, games, shows"
Greaser,New England Gothic,14.26,3,115,1950,1835,artworks,"artworks:books, games, shows"
Ancient Egypt,Bohemian,14.23,2,1231,3150,1919,colours,"colours:brown, red"
Ancient Egypt,Heroic Realism,14.23,2,1230,3150,1920,artworks,"artworks:books, games"
Agejo,Takenokozoku,14.22,4,34,2004,1970,"locations, motifs","locations:Japan, Tokyo | motifs:Bows, Ribbons"
Ancient Egypt,Dandy,14.22,2,1225,3150,1925,colours,"colours:black, white"
Ancient Egypt,Decadence,14.22,2,1224,3150,1926,colours,"colours:black, gold"
Ancient Egypt,Halloween,14.22,2,1224,3150,1926,artworks,"artworks:books, games"
Ancient Egypt,Retrofuturism,14.22,2,1224,3150,1926,artworks,"artworks:books, games"
Retrofuturism,Zombie Apocalypse,14.22,4,34,1926,1960,artworks,"artworks:books, films, games"
Ancient Egypt,Fanfare,14.22,2,1224,3150,1926,artworks,"artworks:books, games"
Ancient Egypt,Gothic,14.22,2,1225,3150,1925,artworks,"artworks:books, games"
Ancient Egypt,Horror,14.22,2,1225,3150,1925,artworks,"artworks:books, games"
Ancient Egypt,Biker,14.18,2,1200,3150,1950,colours,"colours:black, red"
Ancient Egypt,Greaser,14.18,2,1200,3150,1950,artworks,"artworks:books, games"
Ancient Egypt,Zombie Apocalypse,14.17,2,1190,3150,1960,artworks,"artworks:books, games"
Ancient Egypt,DIY Punk,14.15,2,1180,3150,1970,colours,"colours:black, white"
Ancient Egypt,Communist Chic,14.15,2,1180,3150,1970,colours,"colours:black, red"
Ancient Egypt,Queercore,14.13,2,1170,3150,1980,colours,"colours:black, white"
Ancient Egypt,Buffalo Style,14.13,2,1170,3150,1980,colours,"colours:black, white"
Ancient Egypt,Cyberpunk,14.13,2,1170,3150,1980,"artworks, colours",artworks:books | colours:black
Adventure Pulp,Ancient Egypt,14.13,2,1170,1980,3150,"colours, films",colours:brown | films:The Mummy
Ancient Egypt,Neon Noir,14.13,2,1170,3150,1980,colours,"colours:blue, red"
Fairycore,Preppy,14.13,3,110,2020,1910,artworks,"artworks:books, films, shows"
Fairy Grunge,Preppy,14.13,3,110,2020,1910,artworks,"artworks:books, films, shows"
Ancient Egypt,Black Metal,14.11,2,1160,3150,1990,colours,"colours:black, white"
Ancient Egypt,Poppare,14.11,2,1160,3150,1990,colours,"colours:black, white"
Ancient Egypt,Anglo Gothic,14.11,2,1160,3150,1990,colours,"colours:blue, brown"
Ancient Egypt,Tropideco,14.11,2,1160,3150,1990,colours,"colours:blue, red"
Ancient Egypt,Cyberpop,14.11,2,1160,3150,1990,artworks,"artworks:books, games"
Ancient Egypt,Blogspot Scene,14.1,2,1150,3150,2000,colours,"colours:black, white"
Ancient Egypt,Choco Girl,14.1,2,1150,3150,2000,colours,"colours:brown, white"
Ancient Egypt,Pianocore,14.1,2,1150,3150,2000,colours,"colours:black, white"
Ancient Egypt,Cumbiero,14.1,2,1153,3150,1997,colours,"colours:black, white"
2000s Yoga Mom,Ancient Egypt,14.1,2,1153,1997,3150,colours,"colours:black, white"
Ancient Egypt,Lolicore,14.1,2,1150,3150,2000,colours,"colours:black, red"
Ancient Egypt,Neko,14.1,2,1150,3150,2000,colours,"colours:black, gold"
Ancient Egypt,Emo,14.1,2,1150,3150,2000,artworks,"artworks:books, games"
Ancient Egypt,Indigenous Futurisms,14.1,2,1150,3150,2000,artworks,"artworks:books, games"
Ancient Egypt,Liminal Space,14.1,2,1150,3150,2000,artworks,"artworks:books, games"
Ancient Egypt,Tweencore,14.1,2,1153,3150,1997,artworks,"artworks:books, games"
Ancient Egypt,Trinketcore,14.1,2,1150,3150,2000,artworks,"artworks:books, games"
Ancient Egypt,Gardencore,14.09,2,1146,3150,2004,colours,"colours:blue, brown"
Ancient Egypt,Dollette,14.08,2,1140,3150,2010,colours,"colours:red, white"
Ancient Egypt,Pastel Goth,14.08,2,1140,3150,2010,colours,"colours:black, white"
Ancient Egypt,Cyberminimalism,14.08,2,1140,3150,2010,colours,"colours:black, white"
Ancient Egypt,Solarpunk,14.08,2,1140,3150,2010,colours,"colours:blue, white"
Ancient Egypt,Cherry Emoji Twitter,14.08,2,1140,3150,2010,colours,"colours:red, white"
Ancient Egypt,Mallsoft,14.08,2,1140,3150,2010,colours,"colours:gold, white"
Ancient Egypt,Poolcore,14.08,2,1140,3150,2010,colours,"colours:blue, white"
Ancient Egypt,Rebels,14.08,2,1143,3150,2007,colours,"colours:black, red"
Ancient Egypt,Surreal Meme,14.08,2,1140,3150,2010,colours,"colours:black, blue"
Ancient Egypt,Kawaii Metal,14.08,2,1140,3150,2010,colours,"colours:black, red"
Ancient Egypt,Autumn Aesthetic,14.08,2,1140,3150,2010,colours,"colours:brown, red"
Ancient Egypt,Cottagecore,14.08,2,1140,3150,2010,"artworks, colours",artworks:games | colours:brown
Ancient Egypt,Campcore,14.08,2,1140,3150,2010,"artworks, colours",artworks:games | colours:brown
Ancient Egypt,Junkpunk,14.08,2,1140,3150,2010,artworks,"artworks:books, games"
Ancient Egypt,Wizardcore,14.08,2,1140,3150,2010,artworks,"artworks:books, games"
Ancient Egypt,Devilcore,14.08,2,1140,3150,2010,artworks,"artworks:books, games"
Ancient Egypt,Cryptidcore,14.08,2,1140,3150,2010,artworks,"artworks:books, games"
Adventurecore,Ancient Egypt,14.08,2,1140,2010,3150,artworks,"artworks:books, games"
Ancient Egypt,Vaporwave,14.08,2,1140,3150,2010,artworks,"artworks:books, games"
Ancient Egypt,Colorido,14.08,2,1143,3150,2007,artworks,"artworks:books, games"
Ancient Egypt,Silkpunk,14.08,2,1140,3150,2010,artworks,"artworks:books, games"
Ancient Egypt,Princesscore,14.07,2,1133,3150,2017,colours,"colours:gold, white"
Ancient Egypt,Heart Emoji Meme,14.07,2,1133,3150,2017,colours,"colours:red, white"
Ancient Egypt,Angelcore,14.07,2,1133,3150,2017,colours,"colours:gold, white"
Ancient Egypt,E-Boy,14.07,2,1133,3150,2017,colours,"colours:black, white"
2010s Summer Nostalgia,Ancient Egypt,14.07,2,1136,2014,3150,colours,"colours:blue, white"
Ancient Egypt,Dungeon Rap,14.07,2,1133,3150,2017,colours,"colours:black, red"
Ancient Egypt,Brazilcore (fashion trend),14.06,2,1130,3150,2020,colours,"colours:blue, white"
Ancient Egypt,Clean Girl,14.06,2,1130,3150,2020,colours,"colours:brown, white"
Ancient Egypt,Balletcore,14.06,2,1130,3150,2020,colours,"colours:black, white"
Ancient Egypt,Claymorphism,14.06,2,1130,3150,2020,colours,"colours:blue, white"
Ancient Egypt,Blokette,14.06,2,1130,3150,2020,colours,"colours:red, white"
Ancient Egypt,PMC Ryodan,14.06,2,1130,3150,2020,colours,"colours:black, white"
Ancient Egypt,Cottagegoth,14.06,2,1130,3150,2020,colours,"colours:black, brown"
Ancient Egypt,Coconut Girl,14.06,2,1130,3150,2020,"artworks, colours",artworks:games | colours:blue
Ancient Egypt,Jirai Kei,14.06,2,1130,3150,2020,artworks,"artworks:books, games"
Ancient Egypt,Preacher's Daughter,14.06,2,1130,3150,2020,artworks,"artworks:books, games"
Arabfunny,Dadaism,14.05,3,107,2017,1910,colours,"colours:black, red, white"
Dadaism,Sigilkore,14.05,3,107,1910,2017,colours,"colours:black, red, white"
Clockpunk,Spacecore,14.02,3,106,1914,2020,artworks,"artworks:films, shows, videoGames"
Eclectic Grandpa,Sprezzatura,13.96,3,104,2020,1916,values,"values:Comfort, Confidence, Individuality"
Cluttercore,Sprezzatura,13.96,3,104,2020,1916,values,"values:Authenticity, Comfort, Individuality"
Chinoiserie,Claymorphism,13.93,3,103,1917,2020,"colours, values","colours:blue, white | values:Playfulness"
Blueberry Girl,Chinoiserie,13.93,3,103,2020,1917,colours,"colours:black, blue, white"
Blokette,Burlesque,13.93,3,103,2020,1917,colours,"colours:red, white, yellow"
Burlesque,Cutecore,13.93,3,103,1917,2020,colours,"colours:red, white, yellow"
Chinoiserie,Paty de SP,13.93,3,103,1917,2020,colours,"colours:black, blue, white"
Chinoiserie,Dark Nautical,13.93,3,103,1917,2020,colours,"colours:black, blue, white"
Chinoiserie,Fallen Angel,13.93,3,103,1917,2020,colours,"colours:black, gold, white"
Chinoiserie,Cutecore,13.93,3,103,1917,2020,colours,"colours:blue, red, white"
Hollywood Regency,Mob Wife,13.85,3,100,1920,2020,"motifs, values","motifs:Animal prints | values:Glamour, Opulence"
Fairycore,Roaring Twenties,13.85,3,100,2020,1920,"artworks, values","artworks:books, shows | values:Optimism"
Chinese New Year,Pridecore,13.85,2,1017,1000,2017,values,"values:celebration, identity"
Chinoiserie,Dungeon Rap,13.85,3,100,1917,2017,"colours, values","colours:black, red | values:fantasy"
Clean Girl,Flapper,13.85,3,100,2020,1920,colours,"colours:beige, brown, white"
Acubi,Flapper,13.85,3,100,2020,1920,colours,"colours:black, brown, white"
Dark Nautical,Flapper,13.85,3,100,2020,1920,"artworks, colours","artworks:titles | colours:black, white"
2020 Alt,Yakuza Aesthetic,13.85,3,100,2020,1920,"artworks, colours","artworks:games | colours:black, white"
Acubi,Yakuza Aesthetic,13.85,3,100,2020,1920,colours,"colours:black, grey, white"
Dark Nautical,Yakuza Aesthetic,13.85,3,100,2020,1920,"artworks, colours","artworks:games | colours:black, white"
Fallen Angel,Yakuza Aesthetic,13.85,3,100,2020,1920,colours,"colours:black, grey, white"
Arabfunny,Chinoiserie,13.85,3,100,2017,1917,colours,"colours:black, red, white"
Burlesque,Sigilkore,13.85,3,100,1917,2017,colours,"colours:black, red, white"
Chinoiserie,Farmer's Daughter,13.85,3,100,1917,2017,colours,"colours:blue, red, white"
Baddie,Dadaism,13.85,3,100,2010,1910,colours,"colours:black, red, white"
Chinoiserie,Sigilkore,13.85,3,100,1917,2017,colours,"colours:black, red, white"
Fairy Grunge,Flapper,13.85,3,100,2020,1920,"artworks, colours","artworks:titles | colours:black, brown"
Cottagegoth,Yakuza Aesthetic,13.85,3,100,2020,1920,"artworks, colours","artworks:films | colours:black, grey"
Fairy Grunge,Yakuza Aesthetic,13.85,3,100,2020,1920,"artworks, colours","artworks:films, shows | colours:black"
Analog Horror,Chinoiserie,13.85,3,100,2017,1917,colours,"colours:black, blue, red"
Fleischer Style,Preacher's Daughter,13.85,3,100,1920,2020,"artworks, locations","artworks:films, games | locations:United States"
Preacher's Daughter,Roaring Twenties,13.85,3,100,2020,1920,"artworks, locations","artworks:books, titles | locations:United States"
Coconut Girl,Yakuza Aesthetic,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Barbiecore,Yakuza Aesthetic,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Xpiritualism,Yakuza Aesthetic,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Olderbrothercore,Yakuza Aesthetic,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Coconut Girl,Heroic Realism,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Heroic Realism,Jirai Kei,13.85,3,100,1920,2020,artworks,"artworks:books, games, shows"
Barbiecore,Heroic Realism,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Heroic Realism,Xpiritualism,13.85,3,100,1920,2020,artworks,"artworks:films, games, shows"
Heroic Realism,Preacher's Daughter,13.85,3,100,1920,2020,artworks,"artworks:books, films, games"
Heroic Realism,Olderbrothercore,13.85,3,100,1920,2020,artworks,"artworks:films, games, shows"
Coconut Girl,Fleischer Style,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Coconut Girl,Mafia Aesthetic,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Barbiecore,Fleischer Style,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
Fleischer Style,Xpiritualism,13.85,3,100,1920,2020,artworks,"artworks:films, games, shows"
Fleischer Style,Olderbrothercore,13.85,3,100,1920,2020,artworks,"artworks:films, games, shows"
Barbiecore,Mafia Aesthetic,13.85,3,100,2020,1920,artworks,"artworks:films, games, shows"
