aesthetic_1,aesthetic_2,score,shared_total,era_gap_years,year_1,year_2,dimensions_hit,shared_detail
Analog Horror,Flamenco,13.6,3,92,2017,1925,colours,"colours:black, green, red"
Dungeon Rap,Flamenco,13.6,3,92,2017,1925,colours,"colours:black, green, red"
Fanfare,New England Gothic,13.57,3,91,1926,1835,artworks,"artworks:books, games, shows"
Kidcore,Retrofuturism,13.57,3,91,2017,1926,artworks,"artworks:games, shows, titles"
Fanfare,Kidcore,13.57,3,91,1926,2017,artworks,"artworks:games, shows, titles"
Incelcore,Retrofuturism,13.57,3,91,2017,1926,artworks,"artworks:films, games, titles"
Fanfare,Soft Boy,13.57,3,91,1926,2017,artworks,"artworks:games, shows, titles"
2010s Summer Nostalgia,Avantropop,13.54,5,14,2014,2000,colours,"colours:blue, orange, purple"
Pink Parisian,Uptown Girl,13.53,3,90,1930,2020,"brands, values","brands:Chanel, Dior | values:Elegance"
Coconut Girl,Space Western,13.53,3,90,2020,1930,"artworks, values","artworks:films, shows | values:Freedom"
Olderbrothercore,Space Western,13.53,3,90,2020,1930,"artworks, values","artworks:films, shows | values:Freedom"
Chicago Drill,Yakuza Aesthetic,13.53,3,90,2010,1920,"colours, values","colours:black, white | values:loyalty"
Fleischer Style,Wizardcore,13.53,3,90,1920,2010,"artworks, values","artworks:games, shows | values:Whimsy"
Mafia Aesthetic,Wizardcore,13.53,3,90,1920,2010,"artworks, values","artworks:games, shows | values:Ambition"
Cholo,Clean Girl,13.53,3,90,1930,2020,colours,"colours:brown, grey, white"
Baddie,Flapper,13.53,3,90,2010,1920,colours,"colours:beige, black, white"
Blueberry Girl,Cholo,13.53,3,90,2020,1930,colours,"colours:black, blue, white"
Balletcore,Pink Parisian,13.53,3,90,2020,1930,colours,"colours:black, pink, white"
Avantropop,Dadaism,13.53,3,90,2000,1910,colours,"colours:black, red, white"
Dollette,Yakuza Aesthetic,13.53,3,90,2010,1920,"artworks, colours","artworks:films, shows | colours:white"
